,,Алтайский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,г. Москва,г. Санкт-Петербург,г. Севастополь,Донецкая Народная Республика,Еврейская автономная область,Забайкальский край,Запорожская область,Ивановская область,Иркутская область,Кабардино-Балкарская Республика,Калининградская область,Калужская область,Камчатский край,Карачаево-Черкесская Республика,Кемеровская область,Кировская область,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Луганская Народная Республика,Магаданская область,Московская область,Мурманская область,Ненецкий автономный округ,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Пермский край,Приморский край,Псковская область,Республика Адыгея,Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Республика Калмыкия,Республика Карелия,Республика Коми,Республика Крым,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Республика Хакасия,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Ставропольский край,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Удмуртская Республика,Ульяновская область,Хабаровский край,Ханты-Мансийский АО - Югра,Херсонская область,Челябинская область,Чеченская Республика,Чувашская Республика - Чувашия,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Ярославская область
20,Водитель троллейбуса,да,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет
21,"Вязальщик схемных жгутов, кабелей и шнуров",нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
22,Геодезист,нет,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,да,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,да,нет,нет
23,Горничная,да,да,нет,да,да,нет,да,нет,да,нет,да,да,нет,нет,нет,нет,да,да,нет,нет,да,да,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,да,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,нет,нет,нет,да,да,нет,да,нет,да,нет,нет,да,да,да,да,нет,да,нет,нет,Да,да,нет,да,нет,нет,да,да,нет,нет,нет,да
24,Горнорабочий,нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,да,нет,нет
25,Дефектоскопист (разных специализаций),нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
26,"Диспетчер (центра управления сетями, оперативно-диспетчерской группы, службы)",да,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,да,да,ДА,нет,нет,да,да,нет,да,нет,да,да,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,да,да,нет,да,нет,нет,Да,да,нет,да,нет,да,да,нет,нет,да,нет,нет
27,Животновод,да,да,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,да,да,нет,Да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
28,Закройщик,нет,да,нет ,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,Нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет
29,Зоотехник,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Да ,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
30,Инженер по автоматизированным системам управления производством,нет,да,нет,нет,да,нет,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,да,нет,нет,нет,нет,да,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
31,Инженер по контрольно-измерительным приборам и автоматике,нет,да,нет,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Да ,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,да,да,нет,нет,да,нет,Да,да,нет,да,да,да,да,нет,нет,нет,нет,нет
32,Инженер по метрологии,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,Да ,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,да,да,да,да,нет,Нет,да,нет,да,да,да,да,нет,нет,нет,нет,нет
33,Инженер-электрик,нет,да,нет,нет,да,да,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,да,да,нет,нет,нет,Нет,да,нет,да,да,нет,да,нет,нет,нет,нет,нет
34,Инженер-электромеханик,нет,да,нет ,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,да,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
35,Инженер-электроник,нет,да,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,Нет,нет,нет,да,нет,да,да,нет,да,да,нет,нет
36,Инженер-энергетик,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,да,да,нет,да,нет,нет,да,да,нет,нет,нет,нет,Нет,да,нет,да,да,да,да,нет,да,нет,нет,нет
37,Инструктор беспилотного воздушного судна,нет,да,нет ,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет
38,Инструктор-методист по физической культуре и спорту,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,да,нет,нет,да,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,да,нет,нет,нет,да,да,нет,да,нет,да,да,нет,да,нет,да,нет,нет,нет,да,да,да,да,да,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,да,нет,да
39,Каменщик,да,да,да,нет,да,нет,да,нет,нет,нет,да,да,да,нет,да,нет,да,да,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,да,нет,Нет ,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,да,да,нет,да,нет,нет,нет,нет,нет
40,Консультант по банковским продуктам,нет,да,нет ,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,Да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
41,Контролер в литейном производстве,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
42,Контролер кузнечно-прессовых работ,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
43,Контролер по качеству,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,да
44,Контролер радиоэлектронной аппаратуры и приборов,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет ,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
45,Контролер станочных и слесарных работ,да,нет,нет ,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
